"","Camper ID","Age","2021 > Grade","Gender","School","Years at camp","Sibling count","Lead source","Primary family city","Primary family state","Primary family country","Primary family zip","Do you have a copy of this year’s catalog?","2021 > trip code (ex. CAL 1, CAL 1A, CAL 1B, etc.) names (all)","2021 > trip + section names (all)","2021 > Enrolled sibling count","2021 > Status","2021 > First enrollment request date","2021 > First enrollment date","2021 > Unenrollment date","2021 > Is your child attending with a friend?","2021 ^Student Eval","2021 ^Expectations","2021 ^Trip Length","2021 ^^Interested in Another Trip?","2021 ^^^Future Trip?","2021 ^^^^Leader Rating of Student","2022 > Status","2022 > trip code (ex. CAL 1, CAL 1A, CAL 1B, etc.) names (all)"
"1","9522","19","11th","Male","Memphis University School","1","0","Friend","Memphis","TN",,"38120",,"KIL 2","Kilimanjaro 2",,"Enrolled","02-28-2022","03-16-2022",,"Yes",,,,,,"Off the Charts (Highest)","Cancelled",
"2","9542","15","8th","Male","Charlotte Country Day School","2","1","Friend","Charlotte","NC",,"28207",,"BCR 2B","Belize+Costa Rica 2",,"Enrolled","03-07-2022","03-07-2022",,"Yes","5","Met expectations","Too Short","Yes",,"3","Enrolled","DOL 1B"
"3","3606","17","10th","Female","Collegiate School","2","0","Friend","Richmond","VA",,"23226",,"SPM 3A","Spain+Morocco 3",,"Enrolled","08-17-2021","08-17-2021",,"Yes","5","Exceeded expectations","Just Right","Yes","HWI, THA, FIJ","4","Alumni",
"4","5791","19","12th","Male","Charlotte Latin School","2","0","Word of Mouth","Charlotte","NC",,"28226",,"SLO 1A","Slovenia 1",,"Enrolled","08-29-2021","08-31-2021",,"No","5","Met expectations","Just Right","No",,"5","Alumni",
"5","6847","18","11th","Female","Academy of Richmond County","1","1","Friend","Augusta","GA",,"30909",,"HWI 3A","Hawaiian Islands 3",,"Enrolled","01-13-2022","01-13-2022",,"Yes","5","Met expectations","Just Right","Not Sure","THA, KEZ","Off the Charts (Highest)","Alumni",
"6","3414","18","11th","Male","Mount Vernon Presbyterian School","4","0","Friend","Roswell","GA","United States","30076",,"NLT 2A","Northern Lights 2",,"Enrolled","08-12-2021","08-13-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","MYS; CHA; KIL","Off the Charts (Highest)","Enrolled","MYS 1"
"7","5550","18","11th","Female","North Atlanta High School","1","0","Friend","Atlanta","GA","United States","30305",,"KIL 3","Kilimanjaro 3",,"Enrolled","08-17-2021","05-11-2022","05-11-2022","No","5","Exceeded expectations","Just Right","Not Sure","THA; CHA; KEZ; MYS","5","Alumni",
"8","5944","17","10th","Male","Wilson Middle School","2","1","Friend","Tampa","FL",,"33629",,"CRO 1A","Croatia 1","1","Enrolled","08-17-2021","08-17-2021",,"No","5","Exceeded expectations","Just Right","Not Sure",,"2","Alumni",
"9","9110","16","9th","Male","Robinson High School","1","1","Friend","Tampa","FL",,"33629",,"BCR 1A","Belize+Costa Rica 1","1","Enrolled","11-06-2021","11-08-2021",,"Yes","5","Exceeded expectations","Just Right","Not Sure",,"Off the Charts (Highest)","Alumni",
"10","8535","17","10th","Female","The Lovett School","2","2","Friend","Atlanta","GA","United States","30305",,"YEL 2","Yellowstone 2",,"Enrolled","09-09-2021","09-09-2021",,"Yes","5","Exceeded expectations","Just Right","Yes","CRO, NOR, THA","5","Enrolled","CHA 4B"
"11","2371","18","11th","Female","St. Catherine's School","4","1","Friend","Richmond","VA",,"23226",,"KEZ 3A","Kenya + Zanzibar 3","1","Enrolled","08-12-2021","08-13-2021",,"No","5","Met expectations","Too Short","Not Sure",,"5","Alumni",
"12","9620","15","8th","Male","St. Christopher's School","2","1","Friend","Richmond","VA",,"23226",,"BCR 1A","Belize+Costa Rica 1","1","Enrolled","03-29-2022","03-31-2022",,"No","5","Met expectations","Just Right","Yes","FIJ","4","Enrolled","CRO 2A"
"13","6045","19","12th","Male","Mountain Brook High School","2","1","Friend","Birmingham","AL","United States","35223",,"CHA 2A","Chamonix Alps 2",,"Enrolled","08-12-2021","08-12-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","NOR, YOS, DOL, SPM","Off the Charts (Highest)","Alumni",
"14","8539","13","6th","Male","Fayetteville Academy","1","1","Family","Fayetteville","NC",,"28305",,"CAL 1B","California 1",,"Enrolled","09-09-2021","09-10-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","COT, BCO","5","Alumni",
"15","7783","15","8th","Female","Park City High School","3","2","Word of Mouth","Park City","UT",,"84060",,"ICE 3B","Iceland 3",,"Enrolled","09-14-2021","11-08-2021","11-08-2021","No","5","Met expectations","Just Right","Yes","SAF, FIJ","5","Enrolled","SAF 2B"
"16","4540","18","11th","Female","Wesleyan School","2","1","I'm a Moondance Alumni","Alpharetta","GA",,"30009","No","KIL 4","Kilimanjaro 4",,"Enrolled","08-19-2021","08-31-2021",,"No","Off the Charts (Highest)","Exceeded expectations","Just Right","Yes","CHA, CRO","Off the Charts (Highest)","Enrolled","CHA 1A"
"17","9641","13","6th","Male","St. Mark’s school of Texas","1","0","Friend","Dallas","TX",,"75220",,"CAL 1B","California 1",,"Enrolled","04-02-2022","04-04-2022",,"Yes","5","Exceeded expectations","Just Right","Not Sure",,"Off the Charts (Highest)","Alumni",
"18","694","17","10th","Male","The Westminster Schools","4","1","I'm a Moondance Alumni","Atlanta","GA",,"30305","Yes","FIJ 1A","Fiji 1",,"Enrolled","08-12-2021","08-12-2021",,"No","3","Met expectations","Too Long","Not Sure",,"3","Alumni",
"19","7159","16","8th","Female","Broughton High School","3","0","Friend","Raleigh","NC",,"27608",,"BCR 2B","Belize+Costa Rica 2",,"Enrolled","08-12-2021","08-12-2021",,"Yes","5","Met expectations","Just Right","Yes","SPM","Off the Charts (Highest)","Alumni",
